@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'pelaku ledak bom tangkap',batu,6/4/2013
'polisi tangkap pelaku bom',ambon,16/4/2013
'ketua lsm lempari','aceh timur',24/5/2013
'tewas tembak senapan polisi',makassar,4/5/2013
'bisnis palsu ktp bongkar bekuk',jember,14/8/2015
'duga palsu dukung calon bupati kukar polisi','kutai kartanegara',7/8/2015
'bandar narkoba bacok polisi',surabaya,20/4/2013
'suami bacok istri',sumenep,15/4/2013
'bacok 17 tumpang kapal lambelu',purbalingga,4/5/2013
'27 balak liar kalimantan bekuk',pontianak,3/5/2013
'kredit sepeda motor tukang parkir rampas begal',medan,14/5/2015
'jabat pemkot begal ramai',makassar,14/8/2015
'polwan korban begal akses suramadu',bangkalan,5/8/2015
'polisi pakai preman gagal aksi begal',batam,7/8/2015
'bobol atm curi bawa kabur rp196',bandung,8/8/2015
'bobol brankas pt htm udin muka keset kaki','',13/8/2015
'pria tangkap bobol skk migas','',14/8/2015
'cctv rusak man 1 bobol rp140 raib','',12/8/2015
'2 gagal polda bali konfrontir saksi margareta',denpasar,6/8/2015
'arab saudi penggal 40','',14/5/2013
'bacok motor korban muda rampas akik',yogyakarta,22/8/2015
'duga korban keroyok pria misterius tewas spa',bandung,12/8/2015
'serempet pejal kaki bunuh kendara motor',manado,6/8/2015
'karyawan pt vonex tewas bunuh kades',bandung,19/6/2015
'mayat wanita temu sungai',pekanbaru,8/8/2015
'sebulan buron kakak adik bunuh cucu bekuk',bandung,13/6/2015
'tolak rujuk guru tk bunuh suami',bekasi,24/4/2013
'enam jam polisi periksa wartawati korban perkosa',metro,10/7/2013
'polisi gelar rekonstruksi polisi perkosa tahan',poso,22/5/2013
'abg perkosa cokok polisi',pontianak,24/5/2013
'pukul puluh murid sekolah polisi',kolaka,13/8/2015
'alas kades bunuh karyawan pt vonex',bandung,24/8/2015
'duga tampung ikan ilegal kapal bendera thailand tangkap','banda aceh',13/8/2015
'43 preman jaring kampung rambutan','jakarta timur',15/5/2013
'beni cabuli pupu sang istri hamil 7',pontianak,14/8/2015
'cabuli gadis belia tani cari polisi',simalungun,5/8/2015
'janji doa santriwati cabul guru ngaji',pemalang,15/4/2013
'guru ngaji cabul','jakarta timur',2/5/2013
'kakek renta tega cabuli 5 bocah asah',asahan,26/4/2013
'korban potong burung kena pasal cabul',depok,21/5/2013
'18 korban km karya indah temu tewas',samarinda,19/4/2013
'22 korban longsor freeport evakuasi',mimika,19/5/2013
